DATE;KURŞUNSUZ BENZİN (TL/LT);GAZ YAĞI (TL/LT);TP MOTORİN (TL/LT);MOTORİN (TL/LT);KALORİFER YAKITI (TL/KG);FUEL OIL (TL/KG);Y.K. FUEL OIL (TL/KG)
3.Ara.21;9,54 ;10,68 ;9,35 ;9,32 ;9,80 ;8,79 ;7,47 
7.Ara.21;9,54 ;11,30 ;9,35 ;9,32 ;9,80 ;8,79 ;7,47 
8.Ara.21;9,54 ;11,30 ;10,01 ;9,98 ;9,80 ;8,79 ;7,47 
9.Ara.21;10,31 ;11,74 ;10,32 ;10,29 ;10,73 ;9,61 ;8,08 
10.Ara.21;10,36 ;11,74 ;10,37 ;10,33 ;10,73 ;9,61 ;8,08 
17.Ara.21;10,92 ;12,33 ;10,37 ;10,33 ;10,73 ;9,61 ;8,08 
18.Ara.21;11,61 ;13,03 ;11,51 ;11,47 ;11,81 ;10,50 ;9,04 
21.Ara.21;11,61 ;13,63 ;11,51 ;11,47 ;12,38 ;11,00 ;9,43 
23.Ara.21;11,61 ;11,24 ;11,51 ;11,47 ;10,02 ;8,86 ;7,67 
24.Ara.21;11,61 ;10,97 ;11,51 ;11,47 ;9,74 ;8,61 ;7,46 
25.Ara.21;11,61 ;10,42 ;11,46 ;11,42 ;9,15 ;8,06 ;7,09 
28.Ara.21;11,61 ;10,42 ;11,46 ;11,42 ;9,15 ;8,06 ;7,09 
31.Ara.21;12,29 ;10,42 ;11,46 ;11,42 ;9,15 ;8,06 ;7,09 
1.Oca.22;12,97 ;11,73 ;12,79 ;12,75 ;10,48 ;9,24 ;8,16 
5.Oca.22;12,93 ;11,73 ;12,81 ;12,77 ;10,48 ;9,24 ;8,16 
7.Oca.22;12,93 ;12,44 ;12,81 ;12,77 ;10,48 ;9,24 ;8,16 
8.Oca.22;13,56 ;12,81 ;13,75 ;13,71 ;11,41 ;10,08 ;8,78 
10.Oca.22;13,56 ;12,81 ;13,75 ;13,71 ;11,41 ;10,08 ;8,78 
12.Oca.22;13,56 ;12,81 ;13,75 ;13,71 ;11,41 ;10,08 ;8,78 
14.Oca.22;13,56 ;13,46 ;13,75 ;13,71 ;11,41 ;10,08 ;8,78 
19.Oca.22;13,56 ;13,46 ;14,27 ;14,23 ;11,41 ;10,08 ;8,78 
20.Oca.22;14,05 ;13,46 ;14,33 ;14,29 ;11,41 ;10,08 ;8,78 
21.Oca.22;14,05 ;13,46 ;14,33 ;14,29 ;12,07 ;10,63 ;9,37 
28.Oca.22;14,07 ;13,46 ;14,33 ;14,29 ;12,07 ;10,63 ;9,37 
2.Şub.22;14,46 ;13,46 ;14,65 ;14,61 ;12,07 ;10,63 ;9,37 
4.Şub.22;14,46 ;13,46 ;14,65 ;14,61 ;12,07 ;10,63 ;9,37 
5.Şub.22;14,46 ;14,04 ;14,65 ;14,61 ;12,07 ;10,63 ;9,37 
8.Şub.22;14,46 ;14,43 ;15,45 ;15,41 ;12,91 ;11,43 ;9,75 
9.Şub.22;15,17 ;14,43 ;15,45 ;15,41 ;12,91 ;11,43 ;9,75 
10.Şub.22;15,20 ;14,43 ;15,47 ;15,43 ;12,91 ;11,43 ;9,75 
20.Şub.22;15,20 ;14,43 ;15,55 ;15,51 ;12,91 ;11,43 ;9,75 
23.Şub.22;15,16 ;14,43 ;15,52 ;15,48 ;12,91 ;11,43 ;9,75 
26.Şub.22;16,77 ;14,43 ;17,03 ;16,99 ;12,91 ;11,43 ;9,75 
1.Mar.22;16,54 ;14,43 ;16,10 ;16,06 ;13,36 ;11,80 ;9,91 
2.Mar.22;16,54 ;15,11 ;16,10 ;16,06 ;13,36 ;11,80 ;9,91 
3.Mar.22;17,42 ;16,20 ;17,61 ;17,57 ;14,62 ;12,90 ;10,52 
4.Mar.22;17,95 ;17,36 ;18,94 ;18,90 ;15,60 ;13,63 ;10,97 
5.Mar.22;18,69 ;18,03 ;19,82 ;19,78 ;16,28 ;14,14 ;11,67 
8.Mar.22;19,26 ;19,03 ;21,26 ;21,22 ;16,98 ;14,38 ;11,88 
9.Mar.22;20,33 ;20,48 ;22,85 ;22,81 ;18,35 ;15,52 ;12,99 
10.Mar.22;20,37 ;22,52 ;22,87 ;22,83 ;19,79 ;16,40 ;13,79 
11.Mar.22;20,37 ;20,49 ;22,87 ;22,83 ;18,48 ;15,70 ;13,07 
12.Mar.22;20,40 ;18,20 ;22,92 ;22,88 ;17,17 ;15,24 ;12,65 
15.Mar.22;20,40 ;18,20 ;20,54 ;20,50 ;17,04 ;14,80 ;12,76 
16.Mar.22;18,64 ;18,20 ;19,74 ;19,70 ;15,99 ;13,76 ;11,85 
17.Mar.22;18,02 ;16,77 ;18,73 ;18,69 ;15,22 ;13,18 ;11,39 
18.Mar.22;18,02 ;16,77 ;18,73 ;18,69 ;14,99 ;12,77 ;11,21 
19.Mar.22;18,02 ;18,92 ;20,68 ;20,64 ;15,98 ;13,27 ;11,27 
23.Mar.22;19,70 ;20,57 ;22,27 ;22,23 ;17,39 ;14,45 ;12,42 
25.Mar.22;19,70 ;21,76 ;23,64 ;23,60 ;18,41 ;15,15 ;13,43 
30.Mar.22;19,70 ;20,28 ;22,10 ;22,06 ;17,24 ;14,24 ;12,83 
31.Mar.22;19,70 ;19,48 ;21,21 ;21,17 ;16,58 ;13,75 ;12,41 
1.Nis.22;19,70 ;19,48 ;21,21 ;21,17 ;16,87 ;14,13 ;12,81 
